Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
436,2018-08-02 07:02:14,13,29.100,77.900,1001.600,0.9,0,4.924,0.138,5.245,77.899,80.549,81.509,82.101,82.715,83.067,83.260,83.339,83.544,83.354,83.150,82.442,81.346,79.934,79.054,78.578,78.367,77.849,77.140,76.136,75.726,75.569,75.174,74.318,73.746,73.097,72.173,70.027,67.404,64.058,60.905,57.993,55.266,52.933,51.078,50.245,49.896,49.672,49.042,48.329,47.179,46.321,46.410,47.329,48.301,48.704,47.223,45.079,42.329,39.545,36.946,34.176,31.003,27.725,24.841,22.427,20.165,18.050
437,2018-08-02 07:02:14,14,29.100,77.900,1001.600,0.9,0,4.924,0.138,5.245,0.008,0.011,0.013,0.015,0.018,0.018,0.021,0.021,0.024,0.025,0.028,0.032,0.035,0.035,0.033,0.029,0.030,0.029,0.029,0.031,0.030,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.021,0.021,0.020,0.019,0.017,0.018,0.017,0.017,0.017,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
438,2018-08-02 07:06:07,11,28.900,79.300,1001.600,5.3,0,4.901,0.160,4.353,28.900,28.439,28.041,27.629,27.233,26.892,26.574,26.253,25.873,25.593,25.196,24.675,24.087,23.598,23.084,22.570,21.977,21.385,20.790,20.335,19.821,19.274,18.677,18.094,17.596,16.885,15.814,14.527,13.325,12.205,11.023,9.827,8.550,7.214,5.890,4.452,3.072,1.740,0.467,-0.885,-2.116,-3.344,-4.704,-6.153,-7.569,-8.971,-10.120,-11.273,-12.424,-13.716,-15.134,-16.607,-17.987,-19.319,-20.754,-22.326,-24.011,-25.669
439,2018-08-02 07:06:07,12,28.900,79.300,1001.600,5.3,0,4.901,0.160,4.353,22.831,23.173,23.029,22.735,22.455,22.183,21.884,21.559,21.211,20.874,20.419,19.755,18.934,18.151,17.501,16.952,16.392,15.788,15.175,14.600,14.100,13.632,13.111,12.534,12.070,11.435,10.549,9.429,8.387,7.369,6.441,5.646,4.936,4.320,3.807,3.394,3.063,2.779,2.514,2.260,2.022,1.819,1.653,1.515,1.389,1.259,1.121,0.977,0.837,0.708,0.591,0.485,0.391,0.312,0.246,0.192,0.149,0.114
440,2018-08-02 07:06:07,13,28.900,79.300,1001.600,5.3,0,4.901,0.160,4.353,79.298,82.538,83.832,84.661,85.464,86.036,86.384,86.636,87.060,87.029,87.047,86.722,85.924,84.689,84.083,83.873,83.910,83.629,83.205,82.202,81.805,81.675,81.365,80.518,79.872,78.955,77.690,75.099,71.923,67.739,63.759,60.279,57.182,54.553,52.419,51.405,50.867,50.513,49.865,49.214,48.002,47.093,47.168,48.022,48.858,49.151,47.699,45.399,42.509,39.728,37.047,34.229,30.826,27.411,24.334,21.683,19.464,17.259
441,2018-08-02 07:06:07,14,28.900,79.300,1001.600,5.3,0,4.901,0.160,4.353,0.010,0.014,0.017,0.019,0.023,0.023,0.026,0.026,0.029,0.031,0.034,0.038,0.041,0.041,0.039,0.035,0.035,0.035,0.034,0.036,0.035,0.034,0.031,0.032,0.027,0.029,0.026,0.026,0.024,0.025,0.023,0.022,0.020,0.020,0.019,0.019,0.018,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
442,2018-08-02 07:10:00,11,28.800,78.900,1001.700,-2.86,0,4.950,0.144,5.790,28.800,28.345,27.954,27.552,27.162,26.834,26.519,26.200,25.821,25.543,25.133,24.607,24.001,23.489,22.956,22.408,21.779,21.156,20.542,20.051,19.497,18.931,18.311,17.714,17.188,16.449,15.330,14.019,12.838,11.713,10.513,9.291,8.022,6.677,5.361,3.925,2.541,1.193,-0.076,-1.421,-2.660,-3.913,-5.281,-6.777,-8.217,-9.650,-10.797,-11.999,-13.192,-14.505,-15.924,-17.397,-18.807,-20.165,-21.619,-23.189,-24.867,-26.510
443,2018-08-02 07:10:00,12,28.800,78.900,1001.700,-2.86,0,4.950,0.144,5.790,22.592,22.933,22.792,22.502,22.228,21.957,21.661,21.342,21.005,20.677,20.231,19.580,18.776,18.015,17.377,16.833,16.280,15.689,15.088,14.524,14.027,13.563,13.047,12.481,12.024,11.397,10.517,9.412,8.383,7.379,6.458,5.668,4.961,4.346,3.832,3.418,3.085,2.800,2.534,2.278,2.040,1.833,1.665,1.525,1.397,1.266,1.127,0.982,0.842,0.711,0.593,0.486,0.393,0.313,0.247,0.193,0.149,0.116
444,2018-08-02 07:10:00,13,28.800,78.900,1001.700,-2.86,0,4.950,0.144,5.790,78.898,82.105,83.367,84.147,84.930,85.434,85.766,86.018,86.466,86.450,86.553,86.281,85.625,84.576,84.098,84.060,84.293,84.214,83.931,83.137,82.945,82.917,82.744,82.014,81.528,80.780,79.767,77.333,74.086,69.946,66.016,62.615,59.457,56.845,54.645,53.615,53.113,52.824,52.173,51.511,50.314,49.436,49.547,50.614,51.574,52.027,50.500,48.262,45.350,42.461,39.598,36.569,33.145,29.506,26.284,23.470,20.969,18.758
445,2018-08-02 07:10:00,14,28.800,78.900,1001.700,-2.86,0,4.950,0.144,5.790,0.009,0.013,0.016,0.017,0.021,0.021,0.024,0.024,0.027,0.028,0.031,0.035,0.038,0.038,0.036,0.032,0.032,0.032,0.031,0.033,0.032,0.031,0.028,0.029,0.025,0.027,0.024,0.024,0.022,0.023,0.021,0.020,0.018,0.019,0.017,0.017,0.017,0.015,0.015,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
446,2018-08-02 07:13:53,11,28.900,78.900,1001.700,-3.14,0,4.901,0.144,6.108,28.900,28.555,28.218,27.841,27.482,27.177,26.891,26.607,26.274,26.041,25.711,25.284,24.793,24.396,23.982,23.563,23.064,22.574,22.086,21.694,21.236,20.714,20.170,19.627,19.154,18.432,17.359,16.060,14.771,13.541,12.235,10.983,9.637,8.253,6.847,5.354,3.918,2.562,1.280,-0.063,-1.299,-2.548,-3.920,-5.360,-6.783,-8.184,-9.317,-10.473,-11.648,-12.953,-14.421,-15.950,-17.384,-18.777,-20.332,-21.988,-23.747,-25.494
447,2018-08-02 07:13:53,12,28.900,78.900,1001.700,-3.14,0,4.901,0.144,6.108,22.717,23.059,22.919,22.628,22.351,22.082,21.787,21.466,21.122,20.791,20.344,19.688,18.873,18.094,17.444,16.893,16.334,15.733,15.123,14.547,14.047,13.579,13.055,12.475,12.008,11.369,10.474,9.344,8.290,7.267,6.339,5.548,4.841,4.230,3.722,3.316,2.991,2.716,2.459,2.211,1.980,1.781,1.619,1.485,1.363,1.238,1.104,0.964,0.827,0.700,0.584,0.480,0.388,0.309,0.244,0.191,0.148,0.113
448,2018-08-02 07:13:53,13,28.900,78.900,1001.700,-3.14,0,4.901,0.144,6.108,78.901,81.613,82.625,83.285,83.907,84.303,84.505,84.579,84.780,84.542,84.262,83.519,82.299,80.690,79.634,78.976,78.562,77.823,76.931,75.690,75.052,74.781,74.214,73.207,72.455,71.587,70.298,67.800,65.051,61.494,58.159,55.053,52.314,49.945,48.142,47.302,46.941,46.685,46.126,45.475,44.387,43.580,43.674,44.440,45.256,45.589,44.235,42.126,39.547,36.994,34.648,32.126,29.117,25.954,23.293,20.956,18.894,16.843
449,2018-08-02 07:13:53,14,28.900,78.900,1001.700,-3.14,0,4.901,0.144,6.108,0.009,0.013,0.016,0.017,0.021,0.021,0.024,0.024,0.027,0.028,0.031,0.035,0.038,0.038,0.036,0.032,0.032,0.032,0.032,0.033,0.032,0.031,0.029,0.029,0.025,0.027,0.024,0.024,0.022,0.023,0.021,0.020,0.018,0.019,0.018,0.018,0.017,0.015,0.015,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
450,2018-08-02 07:17:46,11,29.000,78.100,1001.500,-3.58,0,4.860,0.145,6.008,29.000,28.784,28.504,28.180,27.885,27.622,27.372,27.109,26.839,26.626,26.328,25.923,25.443,25.008,24.575,24.104,23.553,23.012,22.484,21.996,21.439,20.874,20.263,19.659,19.105,18.279,17.032,15.592,14.278,12.962,11.569,10.186,8.774,7.324,5.931,4.443,2.998,1.611,0.327,-1.006,-2.264,-3.539,-4.896,-6.398,-7.887,-9.340,-10.482,-11.756,-13.031,-14.351,-15.785,-17.329,-18.854,-20.360,-21.991,-23.631,-25.316,-27.113
451,2018-08-02 07:17:46,12,29.000,78.100,1001.500,-3.58,0,4.860,0.145,6.008,22.609,22.950,22.808,22.519,22.245,21.976,21.685,21.366,21.025,20.698,20.256,19.603,18.789,18.012,17.362,16.808,16.248,15.648,15.043,14.473,13.976,13.508,12.987,12.413,11.952,11.318,10.426,9.303,8.255,7.242,6.319,5.533,4.828,4.218,3.709,3.302,2.977,2.700,2.445,2.197,1.967,1.767,1.606,1.473,1.354,1.230,1.096,0.958,0.822,0.696,0.581,0.477,0.386,0.307,0.243,0.190,0.147,0.114
452,2018-08-02 07:17:46,13,29.000,78.100,1001.500,-3.58,0,4.860,0.145,6.008,78.100,80.217,80.950,81.354,81.675,81.865,81.900,81.877,81.784,81.469,81.060,80.237,78.995,77.601,76.647,76.205,76.003,75.489,74.798,74.006,73.801,73.703,73.424,72.704,72.324,71.915,71.361,69.445,66.756,63.512,60.446,57.739,55.131,52.886,50.934,50.029,49.690,49.517,48.955,48.257,47.174,46.400,46.481,47.554,48.750,49.357,47.968,46.190,43.757,41.048,38.353,35.682,32.670,29.404,26.678,23.994,21.512,19.442
453,2018-08-02 07:17:46,14,29.000,78.100,1001.500,-3.58,0,4.860,0.145,6.008,0.008,0.011,0.014,0.015,0.018,0.018,0.021,0.021,0.024,0.025,0.029,0.032,0.035,0.035,0.033,0.029,0.030,0.029,0.029,0.031,0.030,0.029,0.026,0.027,0.023,0.025,0.022,0.022,0.020,0.021,0.020,0.019,0.017,0.018,0.017,0.017,0.017,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
454,2018-08-02 07:21:39,11,29.100,77.000,1001.700,-2.9,0,4.927,0.140,5.887,29.100,28.820,28.515,28.173,27.844,27.560,27.289,27.014,26.710,26.478,26.151,25.728,25.226,24.783,24.333,23.850,23.287,22.735,22.202,21.725,21.180,20.618,20.018,19.430,18.895,18.093,16.887,15.488,14.195,12.916,11.558,10.216,8.834,7.405,6.008,4.515,3.071,1.685,0.399,-0.938,-2.199,-3.479,-4.843,-6.336,-7.813,-9.262,-10.404,-11.645,-12.895,-14.220,-15.672,-17.201,-18.689,-20.156,-21.763,-23.408,-25.115,-26.872
455,2018-08-02 07:21:39,12,29.100,77.000,1001.700,-2.9,0,4.927,0.140,5.887,22.412,22.751,22.608,22.319,22.049,21.784,21.496,21.182,20.846,20.524,20.088,19.442,18.639,17.878,17.244,16.699,16.148,15.559,14.973,14.420,13.936,13.474,12.968,12.417,11.974,11.367,10.507,9.430,8.422,7.442,6.536,5.750,5.040,4.420,3.898,3.475,3.132,2.838,2.564,2.300,2.056,1.846,1.675,1.535,1.407,1.276,1.135,0.989,0.847,0.714,0.595,0.487,0.393,0.313,0.247,0.194,0.150,0.116
456,2018-08-02 07:21:39,13,29.100,77.000,1001.700,-2.9,0,4.927,0.140,5.887,76.998,79.366,80.193,80.663,81.139,81.429,81.560,81.601,81.668,81.449,81.182,80.449,79.327,78.005,77.173,76.804,76.688,76.259,75.661,74.897,74.698,74.622,74.376,73.715,73.358,73.026,72.541,70.838,68.456,65.456,62.561,59.895,57.337,55.135,53.267,52.407,52.028,51.772,51.087,50.281,49.082,48.264,48.287,49.322,50.406,50.928,49.359,47.300,44.578,41.693,38.940,36.066,32.824,29.483,26.606,24.043,21.576,19.372
457,2018-08-02 07:21:39,14,29.100,77.000,1001.700,-2.9,0,4.927,0.140,5.887,0.007,0.010,0.013,0.014,0.017,0.017,0.020,0.020,0.023,0.024,0.027,0.031,0.034,0.035,0.033,0.029,0.030,0.029,0.029,0.031,0.030,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.021,0.022,0.021,0.019,0.018,0.019,0.018,0.018,0.017,0.016,0.016,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
458,2018-08-02 07:25:32,11,29.100,77.000,1001.700,-3.02,0,4.955,0.141,5.959,29.100,28.619,28.216,27.797,27.380,27.031,26.709,26.387,25.990,25.694,25.284,24.771,24.184,23.704,23.192,22.681,22.080,21.491,20.910,20.470,19.972,19.422,18.840,18.276,17.802,17.098,16.056,14.793,13.582,12.452,11.263,10.084,8.815,7.474,6.119,4.663,3.273,1.928,0.639,-0.719,-1.972,-3.224,-4.598,-6.034,-7.449,-8.853,-10.006,-11.142,-12.289,-13.594,-15.038,-16.511,-17.874,-19.197,-20.640,-22.235,-23.952,-25.609
459,2018-08-02 07:25:32,12,29.100,77.000,1001.700,-3.02,0,4.955,0.141,5.959,22.412,22.749,22.604,22.312,22.041,21.774,21.482,21.166,20.832,20.510,20.070,19.421,18.620,17.866,17.236,16.690,16.139,15.555,14.974,14.427,13.943,13.483,12.985,12.446,12.011,11.416,10.570,9.517,8.533,7.572,6.670,5.886,5.175,4.548,4.018,3.585,3.231,2.924,2.639,2.365,2.113,1.895,1.718,1.571,1.437,1.300,1.154,1.003,0.858,0.723,0.601,0.492,0.397,0.316,0.249,0.195,0.151,0.116
460,2018-08-02 07:25:32,13,29.100,77.000,1001.700,-3.02,0,4.955,0.141,5.959,76.998,80.233,81.501,82.320,83.210,83.801,84.164,84.424,84.948,85.030,85.138,84.797,84.037,82.856,82.298,82.055,82.129,81.889,81.530,80.589,80.187,80.081,79.810,79.094,78.513,77.827,76.719,74.579,72.020,68.543,65.040,61.829,58.934,56.478,54.507,53.534,52.944,52.478,51.711,50.909,49.654,48.664,48.671,49.387,50.120,50.325,48.700,46.158,43.086,40.196,37.398,34.463,31.020,27.490,24.402,21.859,19.630,17.321
461,2018-08-02 07:25:32,14,29.100,77.000,1001.700,-3.02,0,4.955,0.141,5.959,0.007,0.010,0.012,0.013,0.016,0.016,0.019,0.019,0.022,0.023,0.026,0.029,0.032,0.033,0.031,0.027,0.028,0.027,0.027,0.029,0.028,0.027,0.025,0.025,0.022,0.023,0.020,0.021,0.019,0.020,0.019,0.018,0.016,0.018,0.016,0.017,0.016,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
462,2018-08-02 07:29:25,11,29.000,76.000,1001.700,-3.29,0,4.926,0.149,5.858,29.000,28.627,28.269,27.890,27.531,27.212,26.920,26.617,26.281,26.008,25.633,25.143,24.574,24.077,23.566,23.020,22.387,21.770,21.172,20.655,20.084,19.501,18.879,18.272,17.733,16.943,15.774,14.409,13.169,11.973,10.726,9.458,8.131,6.746,5.389,3.939,2.546,1.186,-0.112,-1.465,-2.741,-4.015,-5.373,-6.848,-8.324,-9.767,-10.931,-12.152,-13.380,-14.693,-16.110,-17.604,-19.049,-20.475,-21.986,-23.577,-25.232,-26.938
463,2018-08-02 07:29:25,12,29.000,76.000,1001.700,-3.29,0,4.926,0.149,5.858,22.001,22.327,22.181,21.892,21.626,21.363,21.078,20.772,20.444,20.132,19.704,19.072,18.291,17.557,16.945,16.409,15.867,15.294,14.735,14.206,13.737,13.286,12.800,12.279,11.863,11.292,10.470,9.449,8.496,7.570,6.692,5.921,5.216,4.594,4.064,3.629,3.268,2.954,2.662,2.385,2.130,1.910,1.730,1.580,1.443,1.304,1.156,1.005,0.858,0.724,0.602,0.493,0.397,0.316,0.250,0.196,0.152,0.117
464,2018-08-02 07:29:25,13,29.000,76.000,1001.700,-3.29,0,4.926,0.149,5.858,76.001,78.711,79.744,80.358,80.965,81.400,81.623,81.799,82.026,82.014,81.969,81.546,80.755,79.721,79.207,79.124,79.332,79.233,79.019,78.506,78.484,78.544,78.491,78.051,77.860,77.697,77.300,75.806,73.563,70.599,67.498,64.714,62.074,59.818,57.846,56.870,56.240,55.767,54.952,54.078,52.838,51.888,51.820,52.704,53.684,54.045,52.352,49.947,46.911,43.837,40.814,37.657,34.164,30.577,27.451,24.653,22.095,19.658
465,2018-08-02 07:29:25,14,29.000,76.000,1001.700,-3.29,0,4.926,0.149,5.858,0.007,0.009,0.012,0.013,0.016,0.016,0.019,0.019,0.022,0.023,0.026,0.030,0.033,0.034,0.032,0.028,0.029,0.028,0.028,0.030,0.029,0.028,0.026,0.027,0.023,0.025,0.022,0.022,0.021,0.022,0.020,0.019,0.018,0.019,0.018,0.018,0.018,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
466,2018-08-02 07:33:18,11,29.100,76.900,1001.800,-0.17,0,4.949,0.160,5.407,29.100,28.770,28.438,28.077,27.723,27.417,27.129,26.842,26.515,26.268,25.927,25.490,24.977,24.532,24.078,23.607,23.058,22.511,21.982,21.532,21.014,20.467,19.882,19.310,18.799,18.035,16.883,15.525,14.250,13.007,11.692,10.388,9.033,7.630,6.242,4.755,3.326,1.953,0.667,-0.666,-1.909,-3.165,-4.526,-5.984,-7.433,-8.853,-9.994,-11.191,-12.400,-13.716,-15.171,-16.682,-18.125,-19.554,-21.134,-22.778,-24.496,-26.238
467,2018-08-02 07:33:18,12,29.100,76.900,1001.800,-0.17,0,4.949,0.160,5.407,22.383,22.717,22.571,22.279,22.008,21.742,21.451,21.136,20.798,20.473,20.033,19.385,18.584,17.826,17.200,16.660,16.112,15.526,14.946,14.401,13.923,13.467,12.970,12.432,12.001,11.412,10.576,9.530,8.554,7.597,6.701,5.916,5.204,4.577,4.047,3.613,3.257,2.948,2.658,2.381,2.127,1.909,1.731,1.583,1.448,1.310,1.162,1.011,0.863,0.727,0.605,0.495,0.399,0.318,0.251,0.196,0.152,0.117
468,2018-08-02 07:33:18,13,29.100,76.900,1001.800,-0.17,0,4.949,0.160,5.407,76.898,79.464,80.399,80.944,81.529,81.912,82.113,82.200,82.368,82.203,81.979,81.290,80.205,78.888,78.097,77.691,77.520,77.077,76.488,75.638,75.352,75.238,74.984,74.328,73.943,73.571,73.031,71.426,69.293,66.443,63.604,60.957,58.442,56.267,54.461,53.626,53.183,52.804,51.987,51.067,49.765,48.796,48.789,49.587,50.413,50.678,48.998,46.660,43.716,40.811,38.052,35.159,31.826,28.499,25.645,23.017,20.719,18.473
469,2018-08-02 07:33:18,14,29.100,76.900,1001.800,-0.17,0,4.949,0.160,5.407,0.008,0.011,0.014,0.015,0.018,0.018,0.021,0.022,0.025,0.026,0.029,0.033,0.037,0.037,0.035,0.032,0.032,0.032,0.032,0.034,0.033,0.032,0.029,0.030,0.026,0.028,0.025,0.025,0.023,0.025,0.023,0.021,0.020,0.021,0.019,0.020,0.019,0.017,0.017,0.016,0.017,0.014,0.012,0.012,0.011,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
470,2018-08-02 07:37:11,11,29.600,76.000,1001.900,24.81,0,5.006,0.142,0.674,29.600,29.132,28.738,28.331,27.904,27.559,27.231,26.909,26.497,26.192,25.765,25.254,24.656,24.148,23.599,23.052,22.420,21.787,21.172,20.701,20.163,19.595,18.985,18.413,17.918,17.190,16.090,14.780,13.579,12.431,11.209,9.977,8.702,7.344,5.986,4.513,3.108,1.742,0.453,-0.912,-2.169,-3.431,-4.805,-6.269,-7.688,-9.111,-10.264,-11.422,-12.583,-13.910,-15.364,-16.815,-18.184,-19.519,-20.984,-22.582,-24.309,-25.937
471,2018-08-02 07:37:11,12,29.600,76.000,1001.900,24.81,0,5.006,0.142,0.674,22.731,23.087,22.942,22.649,22.378,22.114,21.826,21.510,21.169,20.845,20.406,19.755,18.944,18.177,17.543,17.002,16.455,15.866,15.283,14.734,14.250,13.784,13.277,12.725,12.279,11.670,10.815,9.747,8.742,7.755,6.837,6.038,5.308,4.664,4.121,3.679,3.318,3.006,2.712,2.430,2.169,1.946,1.766,1.618,1.483,1.345,1.196,1.039,0.886,0.745,0.617,0.504,0.405,0.323,0.255,0.200,0.155,0.118
472,2018-08-02 07:37:11,13,29.600,76.000,1001.900,24.81,0,5.006,0.142,0.674,76.001,79.179,80.391,81.150,82.079,82.665,83.077,83.347,83.920,84.051,84.265,83.942,83.252,82.204,81.848,81.833,82.116,82.116,81.958,81.205,81.038,81.043,80.911,80.215,79.709,79.117,78.333,76.438,73.801,70.294,66.888,63.851,60.891,58.410,56.395,55.488,54.975,54.635,53.844,53.012,51.676,50.708,50.773,51.735,52.636,53.072,51.454,48.831,45.542,42.422,39.421,36.123,32.469,28.871,25.735,23.105,20.795,18.145
473,2018-08-02 07:37:11,14,29.600,76.000,1001.900,24.81,0,5.006,0.142,0.674,0.006,0.009,0.011,0.013,0.016,0.016,0.018,0.019,0.022,0.023,0.025,0.029,0.032,0.033,0.031,0.028,0.028,0.028,0.028,0.030,0.029,0.028,0.026,0.026,0.023,0.024,0.021,0.022,0.020,0.021,0.020,0.019,0.017,0.019,0.017,0.018,0.018,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
474,2018-08-02 07:41:04,11,29.500,75.800,1001.800,-1.84,0,4.928,0.142,5.753,29.500,29.097,28.734,28.346,27.949,27.623,27.318,27.014,26.642,26.362,25.980,25.514,24.968,24.504,24.005,23.505,22.916,22.339,21.779,21.330,20.816,20.258,19.670,19.106,18.616,17.875,16.769,15.448,14.192,12.992,11.720,10.462,9.140,7.758,6.374,4.886,3.459,2.086,0.796,-0.562,-1.827,-3.098,-4.470,-5.911,-7.336,-8.751,-9.904,-11.066,-12.241,-13.552,-15.013,-16.501,-17.901,-19.268,-20.779,-22.407,-24.144,-25.827
475,2018-08-02 07:41:04,12,29.500,75.800,1001.800,-1.84,0,4.928,0.142,5.753,22.548,22.900,22.757,22.467,22.198,21.937,21.654,21.340,21.000,20.679,20.247,19.602,18.793,18.022,17.386,16.840,16.291,15.699,15.113,14.561,14.078,13.615,13.104,12.548,12.099,11.487,10.621,9.536,8.517,7.524,6.608,5.815,5.097,4.465,3.936,3.508,3.161,2.863,2.585,2.317,2.069,1.857,1.687,1.548,1.421,1.291,1.150,1.002,0.858,0.722,0.601,0.491,0.396,0.315,0.249,0.195,0.152,0.116
476,2018-08-02 07:41:04,13,29.500,75.800,1001.800,-1.84,0,4.928,0.142,5.753,75.801,78.688,79.761,80.432,81.218,81.715,82.027,82.209,82.582,82.595,82.609,82.089,81.148,79.882,79.264,78.988,79.021,78.710,78.255,77.373,77.074,77.000,76.707,75.923,75.357,74.761,73.849,71.807,69.238,65.862,62.615,59.638,56.851,54.437,52.511,51.616,51.157,50.822,50.116,49.342,48.137,47.250,47.342,48.219,49.141,49.591,48.155,45.843,42.926,40.007,37.324,34.364,31.008,27.563,24.688,22.182,20.094,17.657
477,2018-08-02 07:41:04,14,29.500,75.800,1001.800,-1.84,0,4.928,0.142,5.753,0.006,0.009,0.011,0.013,0.016,0.016,0.018,0.019,0.022,0.023,0.025,0.029,0.032,0.033,0.031,0.028,0.028,0.028,0.028,0.030,0.029,0.028,0.026,0.026,0.023,0.024,0.021,0.022,0.020,0.021,0.020,0.019,0.018,0.019,0.018,0.018,0.018,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
478,2018-08-02 07:44:57,11,29.400,75.100,1001.800,-2.56,0,4.905,0.148,5.966,29.400,29.067,28.741,28.381,28.010,27.711,27.424,27.145,26.805,26.559,26.217,25.812,25.324,24.911,24.477,24.035,23.506,22.992,22.503,22.087,21.598,21.058,20.501,19.962,19.476,18.720,17.595,16.266,14.965,13.691,12.331,11.024,9.658,8.243,6.811,5.291,3.825,2.437,1.153,-0.192,-1.451,-2.732,-4.108,-5.562,-6.996,-8.411,-9.539,-10.720,-11.930,-13.253,-14.740,-16.260,-17.711,-19.131,-20.747,-22.435,-24.221,-25.954
479,2018-08-02 07:44:57,12,29.400,75.100,1001.800,-2.56,0,4.905,0.148,5.966,22.219,22.561,22.418,22.129,21.864,21.603,21.323,21.014,20.682,20.367,19.941,19.304,18.511,17.759,17.138,16.601,16.059,15.479,14.913,14.377,13.907,13.450,12.954,12.419,11.989,11.402,10.564,9.518,8.537,7.584,6.690,5.909,5.196,4.566,4.034,3.598,3.241,2.932,2.643,2.366,2.112,1.894,1.718,1.573,1.442,1.307,1.162,1.011,0.864,0.727,0.604,0.494,0.398,0.317,0.251,0.197,0.153,0.117
480,2018-08-02 07:44:57,13,29.400,75.100,1001.800,-2.56,0,4.905,0.148,5.966,75.101,77.649,78.541,79.069,79.727,80.083,80.303,80.369,80.600,80.464,80.293,79.504,78.347,76.930,76.078,75.557,75.321,74.760,74.067,73.132,72.762,72.609,72.230,71.461,70.979,70.579,69.911,68.214,66.204,63.585,61.016,58.491,56.072,53.956,52.295,51.547,51.172,50.829,50.008,49.114,47.841,46.962,46.980,47.774,48.638,48.950,47.337,45.052,42.203,39.356,36.709,33.913,30.688,27.429,24.824,22.468,20.365,18.014
481,2018-08-02 07:44:57,14,29.400,75.100,1001.800,-2.56,0,4.905,0.148,5.966,0.006,0.009,0.011,0.012,0.015,0.015,0.018,0.018,0.021,0.022,0.025,0.028,0.031,0.032,0.030,0.027,0.027,0.027,0.027,0.029,0.028,0.027,0.025,0.026,0.022,0.024,0.021,0.021,0.020,0.021,0.020,0.019,0.017,0.019,0.017,0.018,0.018,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
482,2018-08-02 07:48:50,11,29.300,73.800,1001.700,-2.93,0,4.943,0.138,5.943,29.300,29.007,28.690,28.337,27.992,27.696,27.422,27.145,26.837,26.588,26.259,25.849,25.358,24.925,24.482,24.012,23.453,22.914,22.404,21.943,21.416,20.854,20.278,19.711,19.200,18.403,17.237,15.867,14.555,13.258,11.899,10.575,9.192,7.764,6.333,4.831,3.387,2.000,0.696,-0.652,-1.934,-3.225,-4.587,-6.037,-7.505,-8.935,-10.081,-11.295,-12.539,-13.859,-15.316,-16.840,-18.315,-19.788,-21.407,-23.077,-24.804,-26.573
